leaf_categ_id,site_id,move_to,leaf_categ_name
100000,0,100000,"Business & Industrial:Healthcare, Lab & Life Science:Medical Equipment:Endoscopy & Laparoscopy:Parts & Accessories"
100001,0,100001,"Business & Industrial:Healthcare, Lab & Life Science:Medical Equipment:Endoscopy & Laparoscopy:Video Endoscopes"
100002,0,100002,"Business & Industrial:Healthcare, Lab & Life Science:Medical Equipment:Endoscopy & Laparoscopy:Other Endo- & Laparoscopy"
100004,0,100004,"Business & Industrial:Healthcare, Lab & Life Science:Medical Equipment:Monitoring Systems:Blood Pressure Monitors"
100005,0,100005,"Business & Industrial:Healthcare, Lab & Life Science:Medical Equipment:Monitoring Systems:ECG & EKG Systems"
100006,0,100006,"Business & Industrial:Healthcare, Lab & Life Science:Medical Equipment:Monitoring Systems:Patient Monitors"
100007,0,100007,"Business & Industrial:Healthcare, Lab & Life Science:Medical Equipment:Monitoring Systems:Other Med Monitoring Systems"
100008,0,100008,"Business & Industrial:Healthcare, Lab & Life Science:Medical Specialties:Ophthalmology & Optometry:Optometry Equipment & Supplies"
100009,0,100009,"Business & Industrial:Healthcare, Lab & Life Science:Medical Specialties:Chiropractic"
100011,0,100011,"Business & Industrial:Healthcare, Lab & Life Science:Medical Specialties:Emergency & EMT:AED - Defibrillators"
100012,0,100012,"Business & Industrial:Healthcare, Lab & Life Science:Medical Specialties:Emergency & EMT:Training & Manikins"
100013,0,100013,"Business & Industrial:Healthcare, Lab & Life Science:Medical Specialties:Emergency & EMT:Other Emergency & EMT"
100014,0,100014,"Business & Industrial:Healthcare, Lab & Life Science:Lab Supplies:Lab Kits & Sets"
100015,0,100015,"Business & Industrial:Healthcare, Lab & Life Science:Lab Supplies:Plasticware"
100058,0,100058,"Toys & Hobbies:Radio Control & Control Line:RC Model Vehicle Parts & Accs:Engine, Exhaust & Fuel Systems:Electric Motors"
1000,0,1000,Pottery & Glass:Glass:Glassware:Contemporary Glass:Degenhart
100179,0,100179,"Business & Industrial:Electrical & Test Equipment:Connectors, Switches & Wire:Wire & Cable:Telecom Wire & Cable"
100180,0,100180,"Business & Industrial:Electrical & Test Equipment:Connectors, Switches & Wire:Wire & Cable:Magnet/Enameled Wire"
100181,0,26213,"Business & Industrial:Electrical & Test Equipment:Connectors, Switches & Wire:Other Connectors & Switches"
100183,0,100183,Business & Industrial:Electrical & Test Equipment:Electrical Supply Equipment:Electr. Supply Books & Manuals
100184,0,100184,Business & Industrial:Electrical & Test Equipment:Electrical Supply Equipment:Other Electr. Supply Equipment
1001,0,1001,Pottery & Glass:Glass:Glassware:Contemporary Glass:Mosser
10020,0,10020,"Collectibles:Clocks:Vintage (1930-69):Cuckoo, Black Forest"
10021,0,10021,"Collectibles:Clocks:Modern (1970-Now):Shelf, Mantel"
100221,0,100221,Baby:Bathing & Grooming:Bathing Accessories
100222,0,100222,Baby:Diapering:Swim Diapers
100224,0,100224,Baby:Baby Gear:Other Baby Gear
