leaf_categ_id	site_id	gpc_id
3047	0	203
3454	71	217
46873	2	212
110977	2	197
42291	101	628
117051	3	245
98034	0	6058
88752	15	328
15781	186	1604
155293	2	216
19570	0	1623
61822	15	5269
46102	2	8233
113515	15	6794
48966	0	6058
139939	3	6106
164073	2	218
164399	0	5122
73359	2	339
137864	101	7129
45000	0	295
2952	0	4006
177823	71	4595
123422	0	4463
149382	2	216
26424	15	6407
20382	0	298
35610	100	8227
4000	2	216
56105	0	331
43296	2	7347
40993	0	317
82569	0	491
58363	0	1158
38252	3	3988
43235	2	7347
29370	15	784
36155	2	999
112677	101	61
146086	2	6407
63858	3	212
165426	2	216
20796	101	4564
13294	71	6000
111483	2	112
175710	77	302
39686	0	216
109469	0	273
20672	0	4532
83937	0	135
6324	2	916
167960	2	217
36001	0	6000
15297	100	916
20662	186	8051
164442	2	192
51217	2	296
1065	15	1604
37566	71	0
32841	2	5561
164022	2	218
160864	0	3584
55867	2	1074
611	101	784
38108	15	86
50964	3	1470
1633	3	1259
503	2	8018
137843	2	5122
46732	0	7261
2914	3	4669
110489	0	192
106313	2	479
119544	186	3502
15733	2	1604
19085	3	3867
175685	186	7349
14971	15	252
36147	186	499811
23826	0	3376
80148	2	1623
67685	0	5865
31561	2	328
118259	0	784
73464	0	216
46323	2	328
116001	2	643
20577	0	599
41345	0	264
177714	100	5863
16405	0	55
155243	2	1604
71419	0	135
56103	2	331
82144	0	784
177737	3	4475
20408	77	5629
180038	71	8260
182035	2	1604
29973	77	597
101356	101	291
165533	0	2418
47170	101	5831
20777	0	499865
85891	2	4700
52460	2	1772
72847	2	3021
3365	2	217
25467	0	6071
84	3	676
116653	0	4778
43078	3	192
180965	186	4634
41541	2	8
49204	3	6997
134784	2	2669
159144	2	1139
27944	2	1076
122574	77	6000
2322	3	216
20387	15	1270
52573	0	5122
10970	3	5122
109703	0	5831
10105	100	916
41661	0	388
33940	186	479
55951	2	1074
52492	0	5917
79748	2	178
181138	15	6103
83989	0	5982
32743	3	216
67654	15	7494
121840	0	359
102521	0	499711
158422	0	137
83933	0	135
39973	15	1623
108323	2	4737
110037	0	5338
171121	100	2550
50507	0	6308
158844	0	287
147292	0	182
16239	0	5025
108896	2	5441
92078	77	1470
63687	0	505766
3571	0	3867
134447	0	499879
99248	0	1623
4958	0	206
86102	2	6463
101606	2	6997
156285	2	216
561	3	216
64461	2	1623
42335	15	499684
4130	3	3650
26387	0	4026
159895	3	2862
26205	101	3635
10794	0	499676
75186	0	3183
348	101	6058
80194	0	1301
39453	2	4203
110501	2	194
2205	77	6492
21306	0	696
118687	0	479
105460	0	5441
152942	2	6407
180255	186	6000
116150	2	7429
6027	100	919
4034	0	216
79779	2	499720
168083	0	3584
75665	3	628
2192	0	6090
117357	2	2858
14889	0	6000
66695	3	547
47175	15	0
28075	0	4669
39762	3	0
2385	77	3775
14879	15	1604
140710	2	6454
55937	2	1074
2468	15	3584
29596	0	479
101623	0	6997
1061	186	1604
181365	2	1013
52468	3	3865
4803	0	776
33908	2	1270
67813	0	252
39827	2	8156
20924	0	8260
167918	3	5250
2220	0	505832
166657	2	916
162112	0	44
28022	0	212
11306	2	916
3945	101	216
63620	2	3268
109408	2	7128
73959	2	499841
15755	71	208
38200	101	4453
36383	2	479
178987	3	6737
134225	0	3576
41512	2	4244
86061	2	194
11014	186	197
110421	2	5122
106959	0	7215
75049	0	6305
110365	0	191
169307	2	216
70574	77	605
108654	2	7347
29329	15	505382
29161	3	784
3508	0	5831
163593	3	7210
43613	3	245
38017	0	3515
67515	2	479
41381	2	7347
4714	2	216
26365	0	1074
178966	3	515
525	2	217
2874	0	3865
3315	71	149
153	2	216
73496	2	216
83877	3	4368
67844	2	242
175771	15	1604
3883	0	417
37791	2	1051
125256	186	4491
165461	0	216
369	71	3865
15277	3	4669
15560	3	182
34145	2	216
1214	2	696
11548	0	2271
156345	0	216
175853	100	916
11319	0	5863
139762	101	182
159948	3	3502
101197	0	296
29254	0	919
50358	2	135
57003	2	131
158929	15	5107
175871	2	916
37629	2	563
43411	2	572
83924	2	6382
80768	100	4027
35593	100	6044
110598	2	194
111418	77	325
153004	15	499979
45342	0	7438
63900	0	114
20341	2	7347
38267	2	1270
35902	0	216
146247	71	3530
3077	3	182
72775	0	479
97187	0	1470
18808	71	3867
162	100	278
57097	2	5898
156234	2	5
31939	100	916
67699	2	4160
30043	0	149
941	2	576
169349	2	895
1527	15	5863
73445	101	149
20175	0	175
34002	77	505399
12729	0	8
55880	2	1074
42136	77	503010
108728	0	3865
48592	0	197
108579	2	7347
43718	0	503747
11761	15	5898
67601	0	2765
152464	2	211
48942	0	3584
71193	0	505370
50632	0	191
41778	2	57
37777	0	3958
49187	3	6997
79701	71	6751
3827	77	5122
48	186	216
181336	3	499716
72783	0	474
142333	2	5971
43686	2	503747
42183	0	1623
10168	2	6125
45327	0	2271
26423	101	499799
146289	0	505286
80216	71	331
43385	0	7278
44074	0	6407
98923	101	503735
152906	2	5970
134569	2	4778
159905	2	7214
404	186	2306
4000	0	216
75601	77	499908
165413	2	216
175735	2	3676
1067	77	1604
94929	2	8156
57000	2	131
58035	2	8156
104051	77	6997
1028	2	216
4781	3	5971
181379	3	1013
3757	77	1623
21481	0	0
32740	2	216
164101	0	218
1300	101	1135
177813	3	1028
3067	2	182
27957	3	4669
71195	15	505371
133210	0	8233
701	71	503758
34027	15	7096
94947	15	984
21139	2	479
76	0	216
2770	2	3553
29993	2	2234
11527	15	215
160716	2	16
82290	3	3359
149375	2	8127
70979	0	596
179696	2	2989
104	2	216
158726	2	6407
44079	101	4669
51064	101	7349
150169	0	6058
71501	2	5496
83732	71	6058
147309	0	5622
157070	100	916
29528	3	499865
21145	2	3356
117379	0	6971
179010	0	5655
159117	0	3888
139837	77	6544
38315	2	6997
25151	0	3191
177976	71	2550
36379	0	479
50005	100	919
3710	2	300
71084	2	4669
72814	2	2904
16236	15	5569
29613	15	479
58053	2	339
33910	0	1270
32803	3	6174
57048	3	5831
28017	71	2306
37585	2	3191
35285	2	5831
50597	0	8156
179405	71	0
31519	186	5181
63552	2	505832
15877	0	0
84623	2	3584
74960	2	6018
47288	0	7215
37567	71	0
96969	0	8134
165664	2	95
107876	101	7494
11702	2	5825
72578	15	3469
45223	0	1662
43732	71	245
156555	2	7117
152597	2	2271
60596	2	3747
41453	101	7308
47616	2	503032
179972	15	1037
134759	0	5549
83983	2	504641
29954	101	149
27255	15	1270
56185	0	3982
33056	2	6997
44868	0	1095
78068	2	479
10115	100	916
162985	0	4778
170091	101	5990
179831	0	6337
178056	0	4222
165139	0	5122
589	0	499879
118677	2	479
146435	2	7347
108331	2	7347
3749	77	8025
41008	0	4463
3934	2	5122
33846	2	5504
36469	100	916
1591	3	503747
